Names,Category,Sub Category,Rank,Technology
mgcp,collaboration,voip-video,2,network-protocol
mgoon,media,photo-video,4,browser-based
mibbit,collaboration,instant-messaging,4,browser-based
micp,networking,ip-protocol,1,network-protocol
micros,business-systems,general-business,1,client-server
microsoft-dynamics-crm,saas,erp-crm,1,browser-based
microsoft-intune,saas,it-management,2,browser-based
mightytext,general-internet,internet-utility,2,browser-based
mikogo,saas,internet-conferencing,2,client-server
millenium-ils,business-systems,general-business,1,client-server
mimacs,business-systems,general-business,1,client-server
minacs-verint-recording,business-systems,erp-crm,1,client-server
mindmeister,saas,office-programs,2,browser-based
mindray-anesthesia,business-systems,medical,1,client-server
mindray-diap,business-systems,medical,1,client-server
mindray-md2,business-systems,medical,1,client-server
mindray-pds-tcp-echo,business-systems,medical,1,client-server
mindray-pds-udp-discover,business-systems,medical,1,client-server
minecraft,media,gaming,2,browser-based
mineralt,general-internet,internet-utility,5,browser-based
minus,collaboration,social-networking,3,browser-based
miro,media,photo-video,3,peer-to-peer
misslee,collaboration,instant-messaging,1,client-server
mitsubishi-melsec,business-systems,ics-protocols,1,network-protocol
mixi-base,collaboration,social-networking,3,browser-based
mixi-posting,collaboration,social-networking,4,browser-based
mlb.tv,media,photo-video,2,browser-based
mms,media,photo-video,3,client-server
mms-ics-identity,business-systems,ics-protocols,1,client-server
mms-ics-status,business-systems,ics-protocols,1,client-server
mms-ics-get-name-list,business-systems,ics-protocols,1,client-server
mms-ics-rename,business-systems,ics-protocols,1,client-server
mms-ics-read,business-systems,ics-protocols,1,client-server
mms-ics-write,business-systems,ics-protocols,1,client-server
mms-ics-get-var-access-attri,business-systems,ics-protocols,1,client-server
mms-ics-define-named-variable,business-systems,ics-protocols,1,client-server
mms-ics-define-scattered-access,business-systems,ics-protocols,1,client-server
mms-ics-get-scatt-access-att,business-systems,ics-protocols,1,client-server
mms-ics-delete-var-access,business-systems,ics-protocols,1,client-server
mms-ics-define-named-var-list,business-systems,ics-protocols,1,client-server
mms-ics-get-named-var-list-attr,business-systems,ics-protocols,1,client-server
mms-ics-delete-named-var-list,business-systems,ics-protocols,1,client-server
mms-ics-define-named-type,business-systems,ics-protocols,1,client-server
mms-ics-get-named-type-attr,business-systems,ics-protocols,1,client-server
mms-ics-delete-named-type,business-systems,ics-protocols,1,client-server
mms-ics-input,business-systems,ics-protocols,1,client-server
mms-ics-output,business-systems,ics-protocols,1,client-server
mms-ics-take-control,business-systems,ics-protocols,1,client-server
mms-ics-relinquish-control,business-systems,ics-protocols,1,client-server
mms-ics-define-semaphore,business-systems,ics-protocols,1,client-server
mms-ics-delete-semaphore,business-systems,ics-protocols,1,client-server
mms-ics-report-sema-status,business-systems,ics-protocols,1,client-server
mms-ics-report-pool-sema-stat,business-systems,ics-protocols,1,client-server
mms-ics-report-sema-entry-stat,business-systems,ics-protocols,1,client-server
mms-ics-initial-download-seq,business-systems,ics-protocols,1,client-server
mms-ics-download-segment,business-systems,ics-protocols,1,client-server
mms-ics-terminate-download-seq,business-systems,ics-protocols,1,client-server
mms-ics-terminate-upload-seq,business-systems,ics-protocols,1,client-server
mms-ics-initiate-upload-seq,business-systems,ics-protocols,1,client-server
mms-ics-upload-segment,business-systems,ics-protocols,1,client-server
mms-ics-request-domain-download,business-systems,ics-protocols,1,client-server
mms-ics-request-domain-upload,business-systems,ics-protocols,1,client-server
mms-ics-load-domain-content,business-systems,ics-protocols,1,client-server
mms-ics-store-domain-content,business-systems,ics-protocols,1,client-server
mms-ics-delete-domain,business-systems,ics-protocols,1,client-server
mms-ics-get-domain-attribute,business-systems,ics-protocols,1,client-server
mms-ics-delete-prog-invocation,business-systems,ics-protocols,1,client-server
mms-ics-create-prog-invocation,business-systems,ics-protocols,1,client-server
mms-ics-start,business-systems,ics-protocols,1,client-server
mms-ics-stop,business-systems,ics-protocols,1,client-server
mms-ics-resume,business-systems,ics-protocols,1,client-server
mms-ics-reset,business-systems,ics-protocols,1,client-server
mms-ics-kill,business-systems,ics-protocols,1,client-server
mms-ics-get-prog-invo-attr,business-systems,ics-protocols,1,client-server
mms-ics-obtain-file,business-systems,ics-protocols,1,client-server
mms-ics-define-event-condition,business-systems,ics-protocols,1,client-server
mms-ics-delete-event-condition,business-systems,ics-protocols,1,client-server
mms-ics-get-event-cond-attr,business-systems,ics-protocols,1,client-server
mms-ics-report-event-cond-stat,business-systems,ics-protocols,1,client-server
mms-ics-alter-event-cond-monit,business-systems,ics-protocols,1,client-server
mms-ics-trigger-event,business-systems,ics-protocols,1,client-server
mms-ics-define-event-action,business-systems,ics-protocols,1,client-server
mms-ics-delete-event-action,business-systems,ics-protocols,1,client-server
mms-ics-get-event-action-attr,business-systems,ics-protocols,1,client-server
mms-ics-rep-event-action-stat,business-systems,ics-protocols,1,client-server
mms-ics-define-event-enroll,business-systems,ics-protocols,1,client-server
mms-ics-delete-event-enroll,business-systems,ics-protocols,1,client-server
mms-ics-alter-event-enroll,business-systems,ics-protocols,1,client-server
mms-ics-rep-event-enroll-stat,business-systems,ics-protocols,1,client-server
mms-ics-get-event-enroll-attr,business-systems,ics-protocols,1,client-server
mms-ics-ack-event-notification,business-systems,ics-protocols,1,client-server
mms-ics-get-alarm-summary,business-systems,ics-protocols,1,client-server
mms-ics-get-alarm-enroll-sum,business-systems,ics-protocols,1,client-server
mms-ics-read-journal,business-systems,ics-protocols,1,client-server
mms-ics-write-journal,business-systems,ics-protocols,1,client-server
mms-ics-initialize-journal,business-systems,ics-protocols,1,client-server
mms-ics-report-journal-status,business-systems,ics-protocols,1,client-server
mms-ics-create-journal,business-systems,ics-protocols,1,client-server
mms-ics-delete-journal,business-systems,ics-protocols,1,client-server
mms-ics-get-capability-list,business-systems,ics-protocols,1,client-server
mms-ics-file-open,business-systems,ics-protocols,1,client-server
mms-ics-file-read,business-systems,ics-protocols,1,client-server
mms-ics-file-close,business-systems,ics-protocols,1,client-server
mms-ics-file-rename,business-systems,ics-protocols,1,client-server
mms-ics-file-delete,business-systems,ics-protocols,1,client-server
mms-ics-file-directory,business-systems,ics-protocols,1,client-server
mms-ics-additional-service,business-systems,ics-protocols,1,client-server
mms-ics-cancel,business-systems,ics-protocols,1,client-server
mms-ics-conclude,business-systems,ics-protocols,1,client-server
mms-ics-unsolicitedstatus,business-systems,ics-protocols,1,client-server
mms-ics-informationreport,business-systems,ics-protocols,1,client-server
mms-ics-eventnotification,business-systems,ics-protocols,1,client-server
mms-ics-base,business-systems,ics-protocols,1,network-protocol
mobile,networking,ip-protocol,1,network-protocol
mobile-me,general-internet,internet-utility,4,browser-based
mobilehdr,networking,ip-protocol,1,network-protocol
mobility-xe,networking,encrypted-tunnel,2,client-server
mocha-rdp,networking,remote-access,1,client-server
modbus-base,business-systems,ics-protocols,2,network-protocol
modbus-write-multiple-coils,business-systems,ics-protocols,2,network-protocol
modbus-write-file-record,business-systems,ics-protocols,2,network-protocol
modbus-read-write-register,business-systems,ics-protocols,2,network-protocol
modbus-write-single-coil,business-systems,ics-protocols,2,network-protocol
modbus-write-single-register,business-systems,ics-protocols,2,network-protocol
modbus-write-multiple-registers,business-systems,ics-protocols,2,network-protocol
modbus-read-input-registers,business-systems,ics-protocols,2,network-protocol
modbus-encapsulated-transport,business-systems,ics-protocols,2,network-protocol
modbus-read-coils,business-systems,ics-protocols,2,network-protocol
modbus-read-discrete-inputs,business-systems,ics-protocols,2,network-protocol
modbus-mask-write-register,business-systems,ics-protocols,2,network-protocol
modbus-read-fifo-queue,business-systems,ics-protocols,2,network-protocol
modbus-read-file-record,business-systems,ics-protocols,2,network-protocol
modbus-read-holding-registers,business-systems,ics-protocols,2,network-protocol
modbus-report-slave-id,business-systems,ics-protocols,2,network-protocol
mogulus,media,photo-video,4,browser-based
moinmoin-editing,collaboration,web-posting,3,browser-based
monday,saas,social-business,2,browser-based
mongodb-atlas,business-systems,database,1,client-server
mongodb-base,business-systems,database,2,client-server
moodle,collaboration,social-business,3,browser-based
morningstar-posting,collaboration,web-posting,2,browser-based
mosh,networking,remote-access,1,client-server
motleyfool-posting,collaboration,web-posting,2,browser-based
mount,networking,infrastructure,3,network-protocol
move-networks,media,photo-video,1,client-server
moxtra,saas,social-business,2,browser-based
mozy,saas,storage-backup,3,client-server
mpeg-ts,media,photo-video,1,network-protocol
mpls-in-ip,networking,ip-protocol,1,network-protocol
mqtt-base,business-systems,general-business,2,client-server
mqtt-connect,business-systems,general-business,2,client-server
mqtt-publish-message,business-systems,general-business,2,client-server
mqtt-disconnect,business-systems,general-business,2,client-server
mqtt-subscribe,business-systems,general-business,2,client-server
mqtt-unsubscribe,business-systems,general-business,2,client-server
ms-delve,saas,office-programs,1,browser-based
ms-dpm,business-systems,storage-backup,2,client-server
ms-ds-smb-base,business-systems,storage-backup,3,client-server
ms-ds-smbv1,business-systems,storage-backup,3,client-server
ms-ds-smbv2,business-systems,storage-backup,3,client-server
ms-ds-smbv3,business-systems,storage-backup,3,client-server
ms-dtc,business-systems,management,2,client-server
ms-exchange,collaboration,email,4,client-server
ms-exchange-admin-center,business-systems,management,1,browser-based
ms-exchange-mrs,business-systems,management,2,client-server
ms-firewall-storage,business-systems,management,1,client-server
ms-frs,networking,infrastructure,3,network-protocol
ms-groove,business-systems,office-programs,4,peer-to-peer
ms-hyper-v-vm-connect,networking,remote-access,1,client-server
ms-iis,business-systems,management,3,client-server
ms-isa-fw-client,business-systems,management,1,client-server
ms-kms,business-systems,management,1,client-server
ms-lync-base,collaboration,instant-messaging,2,client-server
ms-lync-apps-sharing,collaboration,internet-conferencing,1,client-server
ms-lync-content-sharing,collaboration,internet-conferencing,3,client-server
ms-lync-audio,collaboration,voip-video,1,client-server
ms-lync-video,collaboration,voip-video,1,client-server
ms-lync-file-transfer,general-internet,file-sharing,2,client-server
ms-netlogon,business-systems,auth-service,2,client-server
ms-ocs,collaboration,instant-messaging,1,client-server
ms-ocs-audio,collaboration,voip-video,2,peer-to-peer
ms-ocs-file-transfer,general-internet,file-sharing,2,peer-to-peer
ms-ocs-video,collaboration,voip-video,2,peer-to-peer
ms-powerbi,business-systems,office-programs,1,browser-based
ms-powerpoint-online,business-systems,office-programs,2,browser-based
ms-powerpoint-online-uploading,business-systems,office-programs,2,browser-based
ms-powerbi-uploading,business-systems,office-programs,2,browser-based
ms-powerbi-downloading,business-systems,office-programs,2,browser-based
ms-teams-live-event,business-systems,office-programs,1,client-server
visual-studio-live-share,business-systems,office-programs,1,client-server
visual-studio-live-share-relay,business-systems,office-programs,1,client-server
ms-outlook-uploading,collaboration,email,3,browser-based
ms-outlook-downloading,collaboration,email,3,browser-based
ms-outlook-personal-uploading,collaboration,email,3,browser-based
outlook-web-online,saas,email,3,browser-based
ms-lync-online-file-transfer,saas,file-sharing,3,browser-based
ms-lync-online,saas,instant-messaging,3,client-server
ms-lync-online-apps-sharing,saas,internet-conferencing,2,browser-based
ms-office365-base,saas,office-programs,2,browser-based
office-on-demand,saas,office-programs,3,browser-based
ms-teams-editing,saas,office-programs,2,client-server
ms-teams-sharing,saas,office-programs,2,client-server
ms-teams-posting,saas,office-programs,2,client-server
ms-teams-audio-video,saas,office-programs,2,client-server
ms-teams,saas,office-programs,3,client-server
ms-teams-downloading,saas,office-programs,3,client-server
ms-teams-uploading,saas,office-programs,3,client-server
sharepoint-online-sharing,saas,social-business,1,browser-based
sharepoint-online-editing,saas,social-business,1,browser-based
sharepoint-online-uploading,saas,social-business,2,browser-based
sharepoint-online-downloading,saas,social-business,2,browser-based
sharepoint-online,saas,social-business,3,browser-based
ms-onedrive-share,saas,file-sharing,2,client-server
ms-onedrive-uploading,saas,file-sharing,3,client-server
ms-onedrive-base,saas,file-sharing,4,client-server
ms-onedrive-downloading,saas,file-sharing,4,client-server
ms-onenote-base,business-systems,office-programs,1,browser-based
ms-onenote-uploading,business-systems,office-programs,2,browser-based
ms-onenote-downloading,business-systems,office-programs,2,browser-based
ms-product-activation,business-systems,software-update,1,client-server
ms-quick-assist,networking,remote-access,1,client-server
ms-rdp,networking,remote-access,4,client-server
ms-scom,business-systems,management,1,client-server
ms-service-controller,business-systems,management,2,client-server
ms-sms,business-systems,management,3,client-server
ms-spynet,business-systems,management,2,client-server
ms-sql-analysis-service,business-systems,database,1,client-server
ms-sstp,networking,encrypted-tunnel,1,client-server
ms-store,general-internet,internet-utility,1,client-server
ms-update,business-systems,software-update,4,client-server
ms-update-optimization-p2p,business-systems,software-update,1,peer-to-peer
ms-virtualserver,business-systems,management,2,browser-based
ms-visual-studio-tfs,business-systems,management,2,client-server
ms-win-dns,networking,infrastructure,2,network-protocol
ms-wins,networking,infrastructure,2,network-protocol
msdp,networking,routing,2,network-protocol
msn-base,collaboration,instant-messaging,4,client-server
msn-video,collaboration,voip-video,3,peer-to-peer
msn-voice,collaboration,voip-video,4,peer-to-peer
msn-file-transfer,general-internet,file-sharing,5,peer-to-peer
msn-money-posting,collaboration,web-posting,2,browser-based
msn-toolbar,general-internet,internet-utility,3,client-server
msn-webmessenger,collaboration,instant-messaging,3,browser-based
msn2go,collaboration,instant-messaging,4,browser-based
msnshell,collaboration,instant-messaging,3,peer-to-peer
ms-scheduler,business-systems,management,2,client-server
ms-wmi,business-systems,management,2,client-server
ms-remote-registry,networking,infrastructure,1,network-protocol
ms-event-log,networking,infrastructure,1,network-protocol
ms-local-user-management,networking,infrastructure,1,network-protocol
ms-local-security-management,networking,infrastructure,1,network-protocol
ms-workstation-service,networking,infrastructure,1,network-protocol
msrpc-base,networking,infrastructure,2,network-protocol
mssql-db-base,business-systems,database,2,client-server
mssql-db-encrypted,business-systems,database,2,client-server
mssql-db-unencrypted,business-systems,database,2,client-server
mssql-mon,business-systems,database,2,client-server
mtconnect,business-systems,ics-protocols,1,client-server
mtp,networking,ip-protocol,1,network-protocol
mult-ip,networking,encrypted-tunnel,1,client-server
munin,business-systems,management,1,client-server
mural-base,saas,social-business,2,browser-based
mural-uploading,saas,social-business,2,browser-based
musical.ly,media,photo-video,2,client-server
mute,general-internet,file-sharing,5,peer-to-peer
mux,networking,ip-protocol,1,network-protocol
mycase,saas,management,2,browser-based
mydownloader,general-internet,file-sharing,5,browser-based
mygreenpc,saas,remote-access,3,client-server
mymarkets,saas,general-business,1,browser-based
myownconference,saas,internet-conferencing,2,browser-based
myspace-mail,collaboration,email,4,browser-based
myspace-im,collaboration,instant-messaging,3,client-server
myspace-base,collaboration,social-networking,4,browser-based
myspace-posting,collaboration,social-networking,4,browser-based
myspace-video,media,photo-video,1,browser-based
mysql,business-systems,database,2,client-server
nagios,business-systems,management,1,browser-based
nakido-flag,general-internet,file-sharing,4,browser-based
napster,media,audio-streaming,3,browser-based
narp,networking,ip-protocol,1,network-protocol
nasuni,saas,storage-backup,2,browser-based
nate-mail,collaboration,email,3,client-server
nate-video,media,photo-video,4,browser-based
nateon-im-base,collaboration,instant-messaging,4,client-server
nateon-desktop-sharing,collaboration,internet-conferencing,3,client-server
nateon-file-transfer,general-internet,file-sharing,4,client-server
nateon-audio-video,saas,voip-video,1,client-server
nats-io,business-systems,general-business,1,client-server
naver-blog-posting,collaboration,web-posting,2,browser-based
naver-line,saas,voip-video,1,client-server
naver-mail,saas,email,3,browser-based
naver-ndrive,saas,file-sharing,4,browser-based
naver-streaming,media,photo-video,3,browser-based
nbc-video,media,photo-video,2,browser-based
ncipher-impath,networking,encrypted-tunnel,1,client-server
ncp,business-systems,management,1,client-server
ndmp,business-systems,storage-backup,4,peer-to-peer
nefsis,saas,voip-video,2,client-server
neokast,media,photo-video,3,client-server
neonet,general-internet,file-sharing,5,peer-to-peer
neptune,business-systems,general-business,1,client-server
nerohut,general-internet,internet-utility,5,browser-based
net-c-x,business-systems,ics-protocols,1,network-protocol
net.tcp,networking,infrastructure,1,client-server
net.tcp-deployment-service,networking,infrastructure,1,client-server
net2phone,collaboration,voip-video,2,client-server
netbackup,business-systems,storage-backup,3,client-server
netbios-dg,networking,infrastructure,2,network-protocol
netbios-ns,networking,infrastructure,2,network-protocol
netbios-ss,networking,infrastructure,2,network-protocol
netblt,networking,ip-protocol,1,network-protocol
netbotz,business-systems,management,1,browser-based
netease-mail,saas,email,4,browser-based
netease-webdisk-base,saas,file-sharing,1,browser-based
netease-webdisk-uploading,saas,file-sharing,2,browser-based
netease-webdisk-downloading,saas,file-sharing,2,browser-based
netezza,business-systems,database,1,client-server
netflix-base,media,photo-video,3,browser-based
netflix-streaming,media,photo-video,3,browser-based
netflow,business-systems,management,2,client-server
netfolder,general-internet,file-sharing,3,peer-to-peer
netload,saas,file-sharing,4,browser-based
netlog,collaboration,social-networking,5,browser-based
netmeeting,collaboration,voip-video,5,client-server
netop-on-demand,saas,internet-conferencing,3,browser-based
netop-remote-control,networking,remote-access,3,client-server
nets,business-systems,general-business,1,client-server
netspoke,saas,internet-conferencing,1,browser-based
netsuite,saas,erp-crm,1,browser-based
netsupport-manager,networking,remote-access,1,client-server
netvault-backup,business-systems,storage-backup,3,client-server
netviewer,networking,remote-access,3,client-server
netvmg-traceroute,networking,infrastructure,1,client-server
netware-remote-console,business-systems,management,1,client-server
new-relic,saas,management,2,browser-based
newrow,media,photo-video,2,browser-based
newton-mail,saas,email,3,client-server
nextmedia-video,media,photo-video,1,browser-based
nfl-streaming,media,photo-video,2,browser-based
nfs,business-systems,storage-backup,3,client-server
ngap,networking,ip-protocol,1,client-server
ngrok,networking,encrypted-tunnel,3,client-server
niagara-fox,business-systems,ics-protocols,1,network-protocol
nice,business-systems,general-business,1,client-server
niconico-douga,media,photo-video,4,browser-based
nihon-kohden-patient-monitoring,business-systems,medical,1,client-server
nim,networking,infrastructure,1,client-server
nimbuzz,collaboration,instant-messaging,2,client-server
nimsh,networking,infrastructure,1,client-server
ning-apps,collaboration,social-networking,2,browser-based
ning-base,collaboration,social-networking,3,browser-based
ning-posting,collaboration,web-posting,3,browser-based
ning-mail,saas,email,2,browser-based
nintendo-conntest,media,gaming,1,client-server
nintendo-wfc,media,gaming,4,client-server
nntp,general-internet,internet-utility,5,client-server
nokia-here-maps,general-internet,internet-utility,1,client-server
nomachine,networking,remote-access,2,client-server
nomadesk,saas,erp-crm,2,browser-based
nordvpn,networking,encrypted-tunnel,1,client-server
norton-av-broadcast,business-systems,management,1,client-server
norton-zone,general-internet,file-sharing,3,browser-based
noteworthy-admin,business-systems,management,1,browser-based
noteworthy-base,collaboration,email,4,browser-based
notion-base,saas,content-management,3,browser-based
notion-logout,saas,content-management,3,browser-based
notion-download,saas,content-management,3,browser-based
notion-upload,saas,content-management,3,browser-based
notion-delete,saas,content-management,3,browser-based
novell-filr,business-systems,storage-backup,2,client-server
now-tv-base,media,photo-video,1,browser-based
now-tv-streaming,media,photo-video,2,browser-based
nsfnet-igp,networking,ip-protocol,1,network-protocol
ntp-base,networking,infrastructure,2,network-protocol
ntp-non-rfc,networking,infrastructure,2,network-protocol
ntr-support,saas,remote-access,3,client-server
nutanix,business-systems,management,1,browser-based
nvgre,networking,routing,2,network-protocol
nvp-ii,networking,ip-protocol,1,network-protocol
oasys-scada,business-systems,ics-protocols,1,network-protocol
ocsp,networking,infrastructure,2,client-server
octopus,business-systems,software-development,2,browser-based
octopz,collaboration,internet-conferencing,4,browser-based
octoshape,media,audio-streaming,2,peer-to-peer
odnoklassniki-messaging,collaboration,instant-messaging,1,browser-based
odnoklassniki-apps,collaboration,social-networking,1,browser-based
odnoklassniki-base,collaboration,social-networking,4,browser-based
odrive,saas,file-sharing,3,client-server
office-live,saas,file-sharing,4,client-server
office365-consumer-access,saas,office-programs,1,client-server
office365-enterprise-access,saas,office-programs,1,client-server
officehard,business-systems,storage-backup,2,browser-based
okta,saas,auth-service,3,browser-based
okurin,general-internet,file-sharing,4,browser-based
olympus-endoworks,business-systems,medical,1,client-server
omegle,collaboration,voip-video,2,browser-based
omnicell-dispensers,business-systems,medical,1,client-server
omnidrive,general-internet,file-sharing,4,browser-based
omron-fins,business-systems,ics-protocols,1,client-server
onehub-downloading,general-internet,file-sharing,2,browser-based
onehub-base,saas,file-sharing,3,browser-based
onehub-uploading,saas,file-sharing,3,browser-based
onelogin,saas,auth-service,3,browser-based
onepagecrm,saas,erp-crm,2,browser-based
oneup,saas,management,1,browser-based
onlive,media,gaming,2,client-server
ontv,media,photo-video,3,browser-based
onvif,business-systems,general-business,1,client-server
oovoo,collaboration,voip-video,2,peer-to-peer
ooyala,media,photo-video,3,browser-based
opc-base,business-systems,ics-protocols,2,client-server
opc-ua-open-secure-channel-req,business-systems,ics-protocols,2,client-server
opc-ua-acknowledge,business-systems,ics-protocols,2,client-server
opc-ua-activate-session-req,business-systems,ics-protocols,2,client-server
opc-ua-add-nodes-req,business-systems,ics-protocols,2,client-server
opc-ua-add-references-req,business-systems,ics-protocols,2,client-server
opc-ua-browse-next-req,business-systems,ics-protocols,2,client-server
opc-ua-browse-req,business-systems,ics-protocols,2,client-server
opc-ua-call-method-req,business-systems,ics-protocols,2,client-server
opc-ua-call-req,business-systems,ics-protocols,2,client-server
opc-ua-cancel-req,business-systems,ics-protocols,2,client-server
opc-ua-close,business-systems,ics-protocols,2,client-server
opc-ua-close-secure-channel-req,business-systems,ics-protocols,2,client-server
opc-ua-close-session-req,business-systems,ics-protocols,2,client-server
opc-ua-create-session-req,business-systems,ics-protocols,2,client-server
opc-ua-create-subscription-req,business-systems,ics-protocols,2,client-server
opc-ua-delete-nodes-req,business-systems,ics-protocols,2,client-server
opc-ua-delete-references-req,business-systems,ics-protocols,2,client-server
opc-ua-delete-subscriptions-req,business-systems,ics-protocols,2,client-server
opc-ua-error,business-systems,ics-protocols,2,client-server
opc-ua-find-server-req,business-systems,ics-protocols,2,client-server
opc-ua-get-endpoints-req,business-systems,ics-protocols,2,client-server
opc-ua-hello,business-systems,ics-protocols,2,client-server
opc-ua-history-read-req,business-systems,ics-protocols,2,client-server
opc-ua-history-update-req,business-systems,ics-protocols,2,client-server
opc-ua-open,business-systems,ics-protocols,2,client-server
opc-ua-publish-req,business-systems,ics-protocols,2,client-server
opc-ua-query-first-req,business-systems,ics-protocols,2,client-server
opc-ua-query-next-req,business-systems,ics-protocols,2,client-server
opc-ua-read-req,business-systems,ics-protocols,2,client-server
opc-ua-register-nodes-req,business-systems,ics-protocols,2,client-server
opc-ua-register-servers-req,business-systems,ics-protocols,2,client-server
opc-ua-republish-req,business-systems,ics-protocols,2,client-server
opc-ua-set-monitoring-mode-req,business-systems,ics-protocols,2,client-server
opc-ua-set-publishing-mode-req,business-systems,ics-protocols,2,client-server
opc-ua-set-triggering-req,business-systems,ics-protocols,2,client-server
opc-ua-unregister-node-req,business-systems,ics-protocols,2,client-server
opc-ua-write-req,business-systems,ics-protocols,2,client-server
opc-da,business-systems,ics-protocols,1,client-server
open-vpn,networking,encrypted-tunnel,3,client-server
open-webmail,collaboration,email,3,browser-based
openadr-base,business-systems,ics-protocols,1,client-server
openadr-created-event,business-systems,ics-protocols,1,client-server
openadr-distribute-event,business-systems,ics-protocols,1,client-server
openadr-request-event,business-systems,ics-protocols,1,client-server
openadr-canceled-opt,business-systems,ics-protocols,1,client-server
openadr-cancel-opt,business-systems,ics-protocols,1,client-server
openadr-created-opt,business-systems,ics-protocols,1,client-server
openadr-create-opt,business-systems,ics-protocols,1,client-server
openadr-query-registration,business-systems,ics-protocols,1,client-server
openadr-request-reregistration,business-systems,ics-protocols,1,client-server
openadr-canceled-report,business-systems,ics-protocols,1,client-server
openadr-cancel-report,business-systems,ics-protocols,1,client-server
openadr-created-report,business-systems,ics-protocols,1,client-server
openadr-create-report,business-systems,ics-protocols,1,client-server
openadr-registered-report,business-systems,ics-protocols,1,client-server
openadr-register-report,business-systems,ics-protocols,1,client-server
openadr-updated-report,business-systems,ics-protocols,1,client-server
openadr-update-report,business-systems,ics-protocols,1,client-server
openadr-poll,business-systems,ics-protocols,1,client-server
openadr-response,business-systems,ics-protocols,1,client-server
openadr-cancel-party-reg,business-systems,ics-protocols,1,client-server
openadr-created-party-reg,business-systems,ics-protocols,1,client-server
openadr-create-party-reg,business-systems,ics-protocols,1,client-server
openadr-canceled-party-reg,business-systems,ics-protocols,1,client-server
opendoor,networking,proxy,4,client-server
openft,general-internet,file-sharing,5,peer-to-peer
openmeetings,collaboration,internet-conferencing,4,client-server
openomy,general-internet,file-sharing,4,browser-based
opentext-enterprise-connect,business-systems,management,3,client-server
opentun,networking,encrypted-tunnel,2,client-server
opera-mini,general-internet,internet-utility,4,client-server
opera-vpn,networking,encrypted-tunnel,1,client-server
optimum-webmail,saas,email,3,browser-based
oracle,business-systems,database,2,client-server
oracle-alp,business-systems,management,1,client-server
oracle-bi,business-systems,general-business,1,client-server
oracle-crm-ondemand,business-systems,erp-crm,2,browser-based
oracle-eloqua,saas,marketing,1,browser-based
oracle-essbase,business-systems,database,1,client-server
oracle-forms,business-systems,database,2,browser-based
oracle-ipm,business-systems,general-business,1,client-server
orb,media,audio-streaming,2,browser-based
oridus-nettouch,collaboration,internet-conferencing,4,client-server
origin,media,gaming,1,client-server
orion-rhapsody,business-systems,medical,1,client-server
orkut,collaboration,social-networking,4,browser-based
orsiso,collaboration,social-networking,4,client-server
osisoft-pi-base,business-systems,ics-protocols,2,client-server
osisoft-pi-v1,business-systems,ics-protocols,2,client-server
osisoft-pi-v3-encrypted,business-systems,ics-protocols,2,client-server
osisoft-pi-v3,business-systems,ics-protocols,2,client-server
ospf,networking,routing,1,network-protocol
ospfigp,networking,routing,1,network-protocol
ossec,business-systems,management,1,client-server
outblaze-mail,collaboration,email,4,browser-based
outlook-web,collaboration,email,4,browser-based
ovation,business-systems,ics-protocols,1,client-server
overwatch,media,gaming,1,client-server
ovo-logger,business-systems,general-business,1,client-server
owncloud-editing,saas,file-sharing,1,client-server
owncloud-sharing,saas,file-sharing,1,client-server
owncloud-posting,saas,file-sharing,1,client-server
owncloud-deleting,saas,file-sharing,1,client-server
owncloud-downloading,saas,file-sharing,2,client-server
owncloud-uploading,saas,file-sharing,2,client-server
owncloud-base,saas,file-sharing,3,client-server
p10,collaboration,instant-messaging,4,client-server
packer,business-systems,management,1,client-server
packetix-vpn,networking,encrypted-tunnel,5,client-server
pagekite,networking,encrypted-tunnel,3,client-server
pagerduty,saas,management,1,browser-based
pages-base,saas,internet-utility,2,browser-based
pages-uploading,saas,internet-utility,2,browser-based
paloalto-ace,business-systems,general-business,1,client-server
paloalto-ace-kcs,business-systems,general-business,1,client-server
paloalto-aperture,saas,management,1,browser-based
paloalto-aurl-idl,business-systems,general-business,1,client-server
paloalto-autofocus,business-systems,general-business,2,browser-based
paloalto-cloud-identity,business-systems,auth-service,1,client-server
paloalto-device-telemetry,business-systems,general-business,1,client-server
paloalto-directory-sync,business-systems,management,1,client-server
paloalto-dlp-service,business-systems,general-business,1,client-server
paloalto-dns-security,business-systems,general-business,1,client-server
paloalto-gp-mfa-notification,networking,encrypted-tunnel,1,client-server
paloalto-iot-security,business-systems,general-business,1,client-server
paloalto-logging-service,business-systems,management,1,client-server
paloalto-pa-acs,business-systems,general-business,1,client-server
paloalto-shared-services,business-systems,management,1,client-server
paloalto-suppt-case-uploading,saas,customer-service,2,browser-based
paloalto-suppt-case-downloading,saas,customer-service,2,browser-based
paloalto-suppt-case-base,saas,customer-service,2,browser-based
paloalto-terminal-svcs-agent,business-systems,management,1,client-server
paloalto-traps,business-systems,management,1,client-server
paloalto-updates,business-systems,software-update,2,client-server
paloalto-user-context,business-systems,auth-service,1,client-server
paloalto-userid-agent,business-systems,auth-service,1,client-server
paloalto-wildfire-cloud,business-systems,general-business,2,browser-based
paloalto-zero-touch-provision,business-systems,general-business,1,client-server
paloalto-ztna-agent,business-systems,general-business,1,client-server
palringo,collaboration,instant-messaging,3,client-server
paltalk-base,collaboration,instant-messaging,1,client-server
