Names,Category,Sub Category,Rank,Technology
bacnet-get-enrollment-summary,business-systems,ics-protocols,1,network-protocol
bacnet-subscribe-cov,business-systems,ics-protocols,1,network-protocol
bacnet-atomic-read-file,business-systems,ics-protocols,1,network-protocol
bacnet-atomic-write-file,business-systems,ics-protocols,1,network-protocol
bacnet-add-list-element,business-systems,ics-protocols,1,network-protocol
bacnet-remove-list-element,business-systems,ics-protocols,1,network-protocol
bacnet-create-object,business-systems,ics-protocols,1,network-protocol
bacnet-delete-object,business-systems,ics-protocols,1,network-protocol
bacnet-read-property,business-systems,ics-protocols,1,network-protocol
bacnet-read-prop-conditional,business-systems,ics-protocols,1,network-protocol
bacnet-read-prop-multiple,business-systems,ics-protocols,1,network-protocol
bacnet-write-property,business-systems,ics-protocols,1,network-protocol
bacnet-write-prop-multiple,business-systems,ics-protocols,1,network-protocol
bacnet-device-comm-control,business-systems,ics-protocols,1,network-protocol
bacnet-confirmed-private-xfer,business-systems,ics-protocols,1,network-protocol
bacnet-confirmed-text-message,business-systems,ics-protocols,1,network-protocol
bacnet-reinitialize-device,business-systems,ics-protocols,1,network-protocol
bacnet-vt-open,business-systems,ics-protocols,1,network-protocol
bacnet-vt-close,business-systems,ics-protocols,1,network-protocol
bacnet-vt-data,business-systems,ics-protocols,1,network-protocol
bacnet-authenticate,business-systems,ics-protocols,1,network-protocol
bacnet-request-key,business-systems,ics-protocols,1,network-protocol
bacnet-read-range,business-systems,ics-protocols,1,network-protocol
bacnet-life-safety-operation,business-systems,ics-protocols,1,network-protocol
bacnet-subscribe-cov-property,business-systems,ics-protocols,1,network-protocol
bacnet-get-event-information,business-systems,ics-protocols,1,network-protocol
bacnet-error-ack-alarm,business-systems,ics-protocols,1,network-protocol
bacnet-error-add-list-element,business-systems,ics-protocols,1,network-protocol
bacnet-error-atomic-read-file,business-systems,ics-protocols,1,network-protocol
bacnet-error-atomic-write-file,business-systems,ics-protocols,1,network-protocol
bacnet-error-conf-cov-notify,business-systems,ics-protocols,1,network-protocol
bacnet-error-conf-event-notif,business-systems,ics-protocols,1,network-protocol
bacnet-error-conf-private-trf,business-systems,ics-protocols,1,network-protocol
bacnet-error-conf-text-mssg,business-systems,ics-protocols,1,network-protocol
bacnet-error-delete-object,business-systems,ics-protocols,1,network-protocol
bacnet-error-device-comm-cntrl,business-systems,ics-protocols,1,network-protocol
bacnet-error-get-alarm-summary,business-systems,ics-protocols,1,network-protocol
bacnet-error-get-enrollment-sum,business-systems,ics-protocols,1,network-protocol
bacnet-error-get-event-info,business-systems,ics-protocols,1,network-protocol
bacnet-error-life-safety-oper,business-systems,ics-protocols,1,network-protocol
bacnet-error-read-property,business-systems,ics-protocols,1,network-protocol
bacnet-error-read-property-cond,business-systems,ics-protocols,1,network-protocol
bacnet-error-read-property-mul,business-systems,ics-protocols,1,network-protocol
bacnet-error-read-range,business-systems,ics-protocols,1,network-protocol
bacnet-error-reinitialize-dev,business-systems,ics-protocols,1,network-protocol
bacnet-error-remove-list-elem,business-systems,ics-protocols,1,network-protocol
bacnet-error-request-key,business-systems,ics-protocols,1,network-protocol
bacnet-error-subscribe-cov,business-systems,ics-protocols,1,network-protocol
bacnet-error-subscribe-cov-prop,business-systems,ics-protocols,1,network-protocol
bacnet-error-vt-data,business-systems,ics-protocols,1,network-protocol
bacnet-error-vt-open,business-systems,ics-protocols,1,network-protocol
bacnet-error-write-prop-mult,business-systems,ics-protocols,1,network-protocol
bacnet-i-am,business-systems,ics-protocols,1,network-protocol
bacnet-i-have,business-systems,ics-protocols,1,network-protocol
bacnet-unconfirmed-cov-notif,business-systems,ics-protocols,1,network-protocol
bacnet-unconfirmed-event-notif,business-systems,ics-protocols,1,network-protocol
bacnet-unconfirmed-private-txfr,business-systems,ics-protocols,1,network-protocol
bacnet-unconfirmed-text-message,business-systems,ics-protocols,1,network-protocol
bacnet-time-synchronization,business-systems,ics-protocols,1,network-protocol
bacnet-who-has,business-systems,ics-protocols,1,network-protocol
bacnet-who-is,business-systems,ics-protocols,1,network-protocol
bacnet-utc-time-synchronization,business-systems,ics-protocols,1,network-protocol
bacnet-abort,business-systems,ics-protocols,1,network-protocol
bacnet-reject,business-systems,ics-protocols,1,network-protocol
bacnet-simple-ack,business-systems,ics-protocols,1,network-protocol
bacnet-complex-ack,business-systems,ics-protocols,1,network-protocol
bacnet-segment-ack,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-device,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-event-enrollment,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-access-door,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-access-credent,business-systems,ics-protocols,1,network-protocol
bacnet-who-has-access-zone,business-systems,ics-protocols,1,network-protocol
